MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Prof Sougata Ray,DUM DUM,West Bengal,Lok Sabha,147000000.0,14046615.0,9.56,12,40,23.08,132953385.0,17,17,0,
Shri Sanjay Singh (2024-30),Sitting Rajya Sabha,Delhi,Rajya Sabha,184466426.11,16687160.0,9.05,16,85,15.84,167779266.11,22,22,0,
BACHHAV SHOBHA DINESH,DHULE,Maharashtra,Lok Sabha,147000000.0,13135243.0,8.94,13,79,14.13,133864757.0,14,12,2,
DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,Maharashtra,Lok Sabha,159680283.39,14261839.0,8.93,8,144,5.26,145418444.39,20,18,2,
Kamaljeet Sehrawat,WEST DELHI,Delhi,Lok Sabha,147000000.0,13075365.0,8.89,31,32,49.21,133924635.0,34,33,1,
DR. M.P ABDUSSAMAD SAMADANI,PONNANI,Kerala,Lok Sabha,170434031.11,15076499.0,8.85,48,276,14.81,155357532.11,53,52,1,
Shri PP Chaudhary,PALI,Rajasthan,Lok Sabha,147000000.0,12964180.0,8.82,8,34,19.05,134035820.0,143,142,1,
Ravindra Shyamnarayan Alias Ravi Kishan Shukla,GORAKHPUR,Uttar Pradesh,Lok Sabha,147000000.0,12572509.0,8.55,0,9,0.0,134427491.0,10,10,0,
Ramesh Chandappa Jigajinagi,BIJAPUR,Karnataka,Lok Sabha,269500000.0,22898132.0,8.5,0,362,0.0,246601868.0,115,94,21,
TANGELLA UDAY SRINIVAS,KAKINADA,Andhra Pradesh,Lok Sabha,199417886.76,16907864.0,8.48,6,16,27.27,182510022.76,10,10,0,
KAMAKHYA PRASAD TASA,Kaziranga,Assam,Lok Sabha,147000000.0,11985122.0,8.15,0,88,0.0,135014878.0,34,31,3,
Vishnu Dutt Sharma,KHAJURAHO,Madhya Pradesh,Lok Sabha,147000000.0,11209947.0,7.63,3,132,2.22,135790053.0,21,13,8,
KULDEEP INDORA,GANGANAGAR,Rajasthan,Lok Sabha,147000000.0,11119729.0,7.56,2,90,2.17,135880271.0,53,33,20,
Yogendra Chandoliya,NORTH WEST DELHI,Delhi,Lok Sabha,147876307.0,10961614.0,7.41,11,48,18.64,136914693.0,14,14,0,
